name,country,city,address,websiteUrl,sourceUrl,description,feesMin,feesMax,currency,feePeriod,curricula,activities,languages
Deutsche Internationale Schule Riad,SA,Riyadh,"7750, Riyadh 13332, Saudi Arabia",https://disr.edu.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/deutsche-internationale-schule-riad-riyadh,"Deutsche Internationale Schule Riad details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",32288,80976,SAR,yearly,American|IB,Football|Swimming,German
British International School Riyadh,SA,Riyadh,"2786، 7693 Ibrahim Mubarak Said Ad Dusari، Riyadh 13241, Saudi Arabia Diplomatic Quarter Campus: Ages 3 to 18 Address: 3586 Alradaef St, Al Safarat, Riyadh 12512, Saudi Arabia Al Waha Campus: Ages 3 to 18 Address: 2750 Muhammad Ali Janah, Ghirnatah, RFGC6803، 6803, District 13242, Saudi Arabia",https://www.bisr.com.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/british-international-school-riyadh,"British International School Riyadh details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",49095,107933,SAR,yearly,British|American|IB|Cambridge,Football|Swimming|Arts|Music|Drama,English
American International School Riyadh,SA,Riyadh,"P.O. Box 990 Riyadh, 11421 Kingdom of Saudi Arabia",https://www.aisr.org/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/american-international-school-riyadh,"American International School Riyadh details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",63164,117812,SAR,yearly,American|IB,,English
Success International School: Details and Reviews,SA,Riyadh,"street, Aghadir, Al Mansourah، Exit 21, Riyadh 12684, Saudi Arabia Ar Rabia Campus: Ages 3 to 12 Address: 8324 Abi Bakr As Siddiq Rd, Ar Rabi, Riyadh 13316, Saudi Arabia",https://sischs.com/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/success-international-school-riyadh,"Success International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, etc.",,,,,British|American|IB|Cambridge,Basketball|Swimming|Robotics|Arts|Music|Drama,English
Creative Stars International School,SA,Riyadh,"Al malga, Riyadh Saudi Arabia, 13524",https://creativestars.org/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/creative-stars-international-school-riyadh,"Creative Stars International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",30000,40000,SAR,yearly,British|American|IB,,English
Delta School,SA,Riyadh,"3047 Abdulmuhsin As Saadun, Al Muruj, Riyadh 12281 Riyadh 12281 7051, Saudi Arabia",https://www.delta.edu.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/delta-school-riyadh,"Delta School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",18500,28500,SAR,yearly,British|American|IB,,English
Horizon International School,SA,Riyadh,"Abdullah Alanqari St, Al Wurud, Riyadh 12252, Saudi Arabia",https://horizon.sch.sa/portalen/index.asp?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/horizon-international-school-riyadh,"Horizon International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",19500,31875,SAR,yearly,British|American|IB,,English
Reigate Grammar School Riyadh,SA,Riyadh,"Ghirnatah, Riyadh 13242, Kingdom of Saudi Arabia",https://reigategrammar-riyadh.com/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/reigate-grammar-school-riyadh,"Reigate Grammar School Riyadh details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",42400,74900,SAR,yearly,British|American|IB|Cambridge,Football|Basketball|Swimming|Arts|Music,English
Helsinki International Schools,SA,Riyadh,"Al Bateha Valley, Al Malga, Riyadh, 13521, Saudi Arabia HEI School Al Narjis: Ages 3 to 11 Address: Yadmah Street, Al Narjis, Riyadh, 13333, Saudi Arabia",https://heischoolsksa.com/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/helsinki-international-schools-riyadh,"Helsinki International Schools details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, etc.",,,,,British|American|IB,Robotics|Music,English
Downe House Riyadh,SA,Riyadh,"Abi Alhasan Alhsry, Al Aqiq, Riyadh 13511, Saudi Arabia Downe House admits boys and girls in Pre-Prep and Lower Prep (ages 3-9) and girls only from Upper Prep and beyond (ages 9-18).",https://downehouseriyadh.com/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/downe-house-riyadh,"Downe House Riyadh details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",47700,84800,SAR,yearly,British|American|Cambridge,Football|Basketball|Swimming|Arts|Music|Drama,English
Kingdom Schools,SA,Riyadh,"King Abdulaziz Rd, Ar Rabi, Riyadh 13316, Saudi Arabia",https://kingdomschools.edu.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/kingdom-schools-riyadh,"Kingdom Schools details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",28800,51300,SAR,yearly,American|IB,,English
Alfarabi International School,SA,Riyadh,"Hafsa Bint Omar st, Riyadh, Saudi Arabia",https://main.alfarabischool.com/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/alfarabi-international-school-riyadh,"Alfarabi International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",12000,20000,SAR,yearly,American|IB,Basketball|Arts|Drama,English
International Schools Database,SA,Riyadh,,,https://www.international-schools-database.com/in/riyadh/new-generation-international-schools-riyadh,"Find, research and compare the best international schools.",,,,,,,
New Crescent International School,SA,Riyadh,"Aziziya, Riyadh, Saudi Arabia",https://crescentriyadh.com/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/new-crescent-international-school-riyadh,"New Crescent International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",10000,13000,SAR,yearly,British|American|IB,,English
Saud International School,SA,Riyadh,"Hittin, Riyadh 13512, Saudi Arabia",https://sis.edu.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/saud-international-school-riyadh,"Saud International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",40000,58000,SAR,yearly,British|American|IB|Cambridge,Football|Basketball|Swimming,English
Riyadh Schools Misk City,SA,Riyadh,"Irqah, Riyadh Saudi Arabia",https://rsg.edu.sa/RSMiskCity/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/riyadh-schools-misk-city,"Riyadh Schools Misk City details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",33350,52325,SAR,yearly,British|American|IB,Arts|Music,English
GEMS American International School Riyadh,SA,Riyadh,"3783 Prince Saud Ibn Muhammad Ibn Saud, King Fahd, Riyadh 12274, Saudi Arabia",https://gaisr.com/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/gems-american-international-school-riyadh,"GEMS American International School Riyadh details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",33146,79332,SAR,yearly,American|IB,Robotics|Music,English
Manarat Al Riyadh International School,SA,Riyadh,"Al Izdihar, Riyadh 12488, Saudi Arabia The school has separate divisions for boys and girls.",https://portal.maarif.sa/riyadhinternational?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/manarat-al-riyadh-international-school,"Manarat Al Riyadh International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",26500,42900,SAR,yearly,British|American|IB|Cambridge,Football|Basketball|Swimming,English
Al-Rowad International School,SA,Riyadh,"Izz Ad Din Al Muqaddisi, Nuzhah Riyadh 12473 Saudi Arabia The school has separate boys and girls sections.",https://ais.sch.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/al-rowad-international-school-riyadh,"Al-Rowad International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",21325,30325,SAR,yearly,British|American|IB|Cambridge,Football|Basketball|Swimming,English
