name,country,city,address,websiteUrl,sourceUrl,description,feesMin,feesMax,currency,feePeriod,curricula,activities,languages
Al Noor International School,SA,Riyadh,"Ibn Sharwan, Al Wisham, Riyadh 12741, Saudi Arabia",http://www.alnoor.edu.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/alnoor-international-school-riyadh,"Al Noor International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",11500,17500,SAR,yearly,British|American|IB,,English
Brooke House College Riyadh,SA,Riyadh,"1 Ruwaq Street, Qurtubah, Riyadh, Saudi Arabia",https://bhc-riyadh.com/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/brooke-house-college-riyadh,"Brooke House College Riyadh details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",50600,66700,SAR,yearly,British|American|IB,,English
Al Oruba International School,SA,Riyadh,Ar Rafiah Riyadh 12751 Saudi Arabia The school has separate boys and girls sections.,https://alorubaschools.com/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/al-oruba-international-school-riyadh,"Al Oruba International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, etc.",,,,,British|American|IB|Cambridge,Football|Basketball|Swimming|Arts|Science Club|Drama,English
Stars of Knowledge International School,SA,Riyadh,"Olaya, Riyadh​ ​Saudi Arabia",https://www.starsofknowledge.com/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/stars-of-knowledge-international-school-riyadh,"Stars of Knowledge International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, etc.",,,,,American|IB,,English
Rowad Al Khaleej International School Riyadh,SA,Riyadh,Al Mughrizat Riyadh 12483 Saudi Arabia The school has separate boys and girls sections.,https://www.rowad-alkhaleej.edu.sa/en/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/rowad-al-khaleej-international-school-riyadh,"Rowad Al Khaleej International School Riyadh details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, etc.",,,,,American|IB,,English
École Française Internationale de Riyad,SA,Riyadh,Al Nada Riyadh 13317 Saudi Arabia,https://www.efiriyad.com/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/ecole-francaise-internationale-de-riyad-riyadh,"École Française Internationale de Riyad details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",35000,43500,SAR,yearly,British|American|IB,Football|Basketball|Swimming|Music|Coding Club|Drama,French
Education Gate International School Al Rawdah,SA,Riyadh,"4245 Zaidal khyr, Ar Rawdah, Riyadh 13211 7806, Saudi Arabia The school has separate sections for boys and girls.",https://educationgater.egis.edu.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/education-gate-international-school-al-rawdah-riyadh,"Education Gate International School Al Rawdah details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",13000,17430,SAR,yearly,American|IB,,English
Creativity International School,SA,Riyadh,"Prince Meshaal Ibn Abdulaziz, Irqah, Riyadh, Saudi Arabia",https://creativityschools.net/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/creativity-international-school-riyadh,"Creativity International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",18000,23000,SAR,yearly,American|IB,Arts,English
Riyadh Schools Hittin,SA,Riyadh,"Hittin, Riyadh Saudi Arabia",https://rsg.edu.sa/RSHittin/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/riyadh-schools-hittin,"Riyadh Schools Hittin details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, prices, etc.",33350,52325,SAR,yearly,British|American|IB,Arts|Music,English
Education International School,SA,Riyadh,"6767 Al Shaikh Hamad Al Jasir, RHWA3465، 3465, Riyadh 12252, Saudi Arabia",https://www.education-school.edu.sa/?utm_campaign=free+listing&utm_medium=referral&utm_source=international-schools-database.com,https://www.international-schools-database.com/in/riyadh/education-international-school-riyadh,"Education International School details and info: Extracurricular activies, are teachers native, class sizes, school bus availability, etc.",,,,,British|American|IB,Arts,English
